      L    Grid       Energy    EnergyErr        Force     ForceErr Status
  0.178   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.178   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.178   0.800   -5.724e-01    4.377e-03   -3.457e+00    1.126e-02    0
  0.178   1.000   -4.615e-01    2.432e-03   -2.531e+00    6.158e-03    0
  0.100   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.100   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.100   0.800    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.100   1.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.316   0.200    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.316   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.316   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.316   0.800   -2.750e-01    1.640e-03   -1.286e+00    3.956e-03    0
  0.316   1.000   -2.359e-01    1.188e-03   -1.019e+00    2.746e-03    0
  0.562   0.200    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.562   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.562   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.562   0.800    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.562   1.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.778   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.778   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.778   0.800    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.778   1.000   -8.056e-03    7.550e-05   -1.128e-02    2.789e-05    0
 10.000   0.200    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.800   -3.153e-05    1.372e-07   -1.323e-05    4.181e-08    0
 10.000   1.000   -3.084e-05    1.345e-07   -1.294e-05    4.097e-08    0
  1.000   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.000   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.000   0.800    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.000   1.000   -3.061e-02    1.379e-04   -6.586e-02    1.712e-04    0
  3.162   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  3.162   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  3.162   0.800    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  3.162   1.000   -1.718e-03    9.830e-06   -1.576e-03    4.200e-06    0
  5.623   0.400    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  5.623   0.600    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  5.623   0.800   -2.843e-04    1.229e-06   -1.753e-04    7.127e-07    0
  5.623   1.000   -2.777e-04    1.206e-06   -1.711e-04    6.968e-07    0
