      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   2.000 300.000   -1.598e-04    4.405e-14   -5.674e-05    0.000e+00    0
 10.000   0.300   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   2.500 300.000   -1.773e-04    1.456e-17   -6.087e-05    0.000e+00    0
 10.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   3.000 300.000   -1.900e-04    1.280e-15   -6.358e-05    0.000e+00    0
 10.000   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   2.500 300.000   -1.773e-04    1.456e-17   -6.087e-05    0.000e+00    0
 10.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   2.000 300.000   -7.008e-05    7.420e-14   -2.155e-05    5.082e-20    0
 12.500   0.300   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   2.500 300.000   -7.987e-05    9.763e-14   -2.374e-05    5.082e-20    0
 12.500   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   3.000 300.000   -8.745e-05    1.776e-13   -2.529e-05    5.082e-20    0
 12.500   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400   2.000 300.000   -7.008e-05    7.420e-14   -2.155e-05    5.082e-20    0
 12.500   0.400   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400   2.500 300.000   -7.987e-05    9.763e-14   -2.374e-05    5.082e-20    0
 12.500   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400   3.000 300.000   -8.745e-05    1.776e-13   -2.529e-05    5.082e-20    0
 15.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   2.000 300.000   -3.384e-05    8.296e-14   -9.275e-06    0.000e+00    0
 15.000   0.300   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   2.500 300.000   -3.954e-05    1.018e-13   -1.046e-05    0.000e+00    0
 15.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   3.000 300.000   -2.432e-05    1.744e-13   -5.573e-06    0.000e+00    0
 20.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
