      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
