      L    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.400   -2.498e-04    1.130e-14   -7.211e-05    0.000e+00    0
 10.000   0.500   -7.596e-05    2.752e-07   -2.853e-05    9.432e-08    0
 10.000   0.500   -2.468e-04    7.303e-15   -7.128e-05    0.000e+00    0
 12.500   0.300   -1.315e-04    4.517e-14   -3.155e-05    4.743e-20    0
 12.500   0.400   -1.294e-04    1.053e-14   -3.110e-05    4.743e-20    0
 12.500   0.500   -3.235e-05    1.080e-07   -1.008e-05    3.079e-08    0
 12.500   0.500   -1.279e-04    1.018e-14   -3.074e-05    4.743e-20    0
 15.000   0.300   -7.543e-05    4.917e-14   -1.554e-05    0.000e+00    0
 15.000   0.400   -7.426e-05    8.219e-15   -1.531e-05    0.000e+00    0
 15.000   0.500   -1.576e-05    6.760e-08   -4.196e-06    1.557e-08    0
 15.000   0.500   -7.334e-05    9.878e-15   -1.513e-05    0.000e+00    0
 17.500   0.300   -4.665e-05    5.291e-14   -8.423e-06    0.000e+00    0
 17.500   0.400   -4.584e-05    7.637e-15   -8.293e-06    0.000e+00    0
 17.500   0.500   -8.462e-06    3.662e-08   -1.970e-06    7.116e-09    0
 17.500   0.500   -4.527e-05    1.043e-14   -8.193e-06    0.000e+00    0
  1.000   0.500   -6.978e-02    9.943e-09   -1.578e-01    2.826e-08    0
  2.500   0.400   -8.392e-03    6.613e-11   -7.868e-03    1.098e-11    0
  2.500   0.500   -8.296e-03    6.324e-11   -7.773e-03    1.039e-11    0
 20.000   0.300   -3.042e-05    5.291e-14   -4.909e-06    0.000e+00    0
 20.000   0.400   -2.990e-05    7.637e-15   -4.831e-06    0.000e+00    0
 20.000   0.500   -4.889e-06    2.146e-08   -1.012e-06    3.600e-09    0
 20.000   0.500   -2.953e-05    1.043e-14   -4.771e-06    0.000e+00    0
 22.500   0.300   -2.070e-05    5.291e-14   -3.027e-06    0.000e+00    0
 22.500   0.400   -2.037e-05    7.637e-15   -2.978e-06    0.000e+00    0
 22.500   0.500   -2.992e-06    1.331e-08   -5.586e-07    1.965e-09    0
 22.500   0.500   -2.011e-05    1.043e-14   -2.941e-06    0.000e+00    0
 25.000   0.300   -1.462e-05    5.291e-14   -1.954e-06    0.000e+00    0
 25.000   0.400   -1.436e-05    7.637e-15   -1.921e-06    0.000e+00    0
 25.000   0.500   -1.418e-05    1.043e-14   -1.897e-06    0.000e+00    0
 27.500   0.400   -1.041e-05    7.579e-15   -1.287e-06    0.000e+00    0
 27.500   0.500   -1.028e-05    1.063e-14   -1.270e-06    0.000e+00    0
 30.000   0.300   -7.919e-06    4.993e-14   -9.042e-07    0.000e+00    0
 30.000   0.400   -7.722e-06    8.656e-15   -8.888e-07    0.000e+00    0
 30.000   0.500   -7.630e-06    9.834e-15   -8.775e-07    0.000e+00    0
  5.000   0.400   -1.609e-03    1.391e-14   -8.008e-04    9.798e-16    0
  5.000   0.500   -1.590e-03    1.132e-14   -7.920e-04    9.494e-16    0
  7.500   0.400   -5.599e-04    1.165e-14   -2.032e-04    7.915e-18    0
  7.500   0.500   -2.175e-04    9.222e-07   -1.031e-04    3.828e-07    0
  7.500   0.500   -5.534e-04    7.623e-15   -2.009e-04    7.725e-18    0
