      L    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.500   -1.514e-04    1.330e-14   -4.220e-05    0.000e+00    0
 12.500   0.500   -8.017e-05    1.623e-14   -1.866e-05    2.372e-20    0
 15.000   0.400   -4.733e-05    2.467e-14   -9.480e-06    0.000e+00    0
 15.000   0.500   -4.675e-05    1.648e-14   -9.367e-06    0.000e+00    0
  2.500   0.500   -4.435e-03    2.876e-11   -4.009e-03    4.545e-12    0
 25.000   0.400   -9.539e-06    2.432e-14   -1.249e-06    0.000e+00    0
 25.000   0.500   -9.408e-06    1.606e-14   -1.233e-06    0.000e+00    0
 27.500   0.400   -6.965e-06    2.445e-14   -8.429e-07    0.000e+00    0
 27.500   0.500   -6.870e-06    1.597e-14   -8.323e-07    0.000e+00    0
 30.000   0.400   -5.196e-06    2.389e-14   -5.861e-07    0.000e+00    0
 30.000   0.500   -5.125e-06    1.701e-14   -5.787e-07    0.000e+00    0
  5.000   0.500   -9.079e-04    2.179e-14   -4.335e-04    4.482e-16    0
  7.500   0.500   -3.295e-04    1.341e-14   -1.151e-04    3.781e-18    0
