      L    Grid   Ratio   Depth    Temp       Energy    EnergyErr        Force     ForceErr Status
 20.000   0.400  10.000   1.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  10.000   1.000 300.000   -2.488e-05    1.366e-14   -4.334e-06    0.000e+00    0
 20.000   0.400  10.000   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  10.000   2.000 300.000   -2.656e-05    1.840e-14   -4.529e-06    0.000e+00    0
 20.000   0.400  10.000   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  10.000   3.000 300.000   -2.753e-05    1.738e-14   -4.630e-06    0.000e+00    0
 20.000   0.400  10.000   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  10.000   5.000 300.000   -2.868e-05    1.730e-14   -4.733e-06    0.000e+00    0
 20.000   0.400  20.000   1.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  20.000   1.000 300.000   -2.487e-05    8.568e-15   -4.330e-06    0.000e+00    0
 20.000   0.400  20.000   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  20.000   2.000 300.000   -2.655e-05    1.404e-14   -4.527e-06    0.000e+00    0
 20.000   0.400  20.000   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  20.000   3.000 300.000   -2.753e-05    4.131e-15   -4.628e-06    0.000e+00    0
 20.000   0.400  20.000   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  20.000   5.000 300.000   -2.866e-05    1.266e-14   -4.732e-06    0.000e+00    0
 20.000   0.400   5.000   1.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400   5.000   1.000 300.000   -2.491e-05    1.906e-15   -4.336e-06    0.000e+00    0
 20.000   0.400   5.000   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400   5.000   2.000 300.000   -2.659e-05    1.849e-14   -4.531e-06    0.000e+00    0
 20.000   0.400   5.000   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400   5.000   3.000 300.000   -2.754e-05    2.554e-14   -4.630e-06    0.000e+00    0
 20.000   0.400   5.000   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400   5.000   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
