      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.000   0.500   -7.596e-05    2.752e-07   -2.854e-05    9.431e-08    0
 10.000 100.000   0.500   -3.889e-08    2.182e-10   -1.557e-09    4.666e-12    0
 10.000  20.000   0.500   -7.561e-05    2.642e-07   -2.849e-05    9.501e-08    0
 10.000  40.000   0.500   -6.911e-05    2.207e-07   -2.706e-05    7.943e-08    0
 10.000  50.000   0.500   -3.981e-05    1.619e-07   -1.518e-05    3.293e-08    0
 10.000  60.000   0.500   -7.352e-06    4.578e-08   -1.649e-06    4.529e-09    0
 10.000  80.000   0.500   -2.974e-07    1.928e-09   -2.192e-08    7.506e-11    0
 15.000   0.000   0.500   -1.576e-05    6.758e-08   -4.196e-06    1.557e-08    0
 15.000 100.000   0.500   -3.157e-08    1.919e-10   -1.365e-09    3.930e-12    0
 15.000  20.000   0.500   -1.556e-05    6.772e-08   -4.174e-06    1.546e-08    0
 15.000  40.000   0.500   -1.326e-05    4.350e-08   -3.725e-06    1.044e-08    0
 15.000  50.000   0.500   -8.085e-06    4.045e-08   -2.176e-06    4.791e-09    0
 15.000  60.000   0.500   -2.596e-06    1.589e-08   -4.986e-07    1.440e-09    0
 15.000  80.000   0.500   -2.031e-07    1.386e-09   -1.589e-08    6.037e-11    0
  1.000 100.000   0.400   -5.484e-08    2.699e-10   -1.799e-09    6.537e-12    0
  1.000 100.000   0.500   -5.404e-08    2.670e-10   -1.774e-09    6.451e-12    0
  1.000  40.000   0.500   -6.828e-02    3.104e-04   -1.580e-01    4.609e-04    0
  1.000  50.000   0.500   -3.754e-02    1.527e-04   -8.551e-02    2.423e-04    0
  1.000  60.000   0.500   -6.105e-05    3.360e-07   -1.308e-05    3.585e-08    0
  1.000  80.000   0.400   -5.474e-07    3.007e-09   -3.128e-08    9.145e-11    0
  1.000  80.000   0.500   -5.399e-07    2.978e-09   -3.084e-08    9.023e-11    0
 20.000   0.000   0.500   -4.890e-06    2.146e-08   -1.012e-06    3.600e-09    0
 20.000 100.000   0.500   -2.527e-08    1.542e-10   -1.154e-09    3.665e-12    0
 20.000  20.000   0.500   -4.775e-06    2.012e-08   -1.000e-06    3.401e-09    0
 20.000  40.000   0.500   -3.857e-06    1.307e-08   -8.418e-07    1.904e-09    0
 20.000  50.000   0.500   -2.487e-06    1.244e-08   -5.167e-07    1.185e-09    0
 20.000  60.000   0.500   -1.070e-06    7.166e-09   -1.750e-07    6.295e-10    0
 20.000  80.000   0.500   -1.367e-07    9.591e-10   -1.089e-08    4.399e-11    0
 25.000   0.000   0.500   -1.916e-06    8.594e-09   -3.263e-07    1.136e-09    0
 25.000 100.000   0.500   -2.001e-08    1.229e-10   -9.486e-10    3.209e-12    0
 25.000  20.000   0.500   -1.849e-06    7.535e-09   -3.192e-07    1.012e-09    0
 25.000  40.000   0.500   -1.442e-06    5.222e-09   -2.567e-07    5.183e-10    0
 25.000  50.000   0.500   -9.753e-07    4.804e-09   -1.651e-07    3.903e-10    0
 25.000  60.000   0.500   -5.005e-07    3.209e-09   -7.065e-08    2.481e-10    0
 25.000  80.000   0.500   -9.190e-08    6.476e-10   -7.255e-09    3.017e-11    0
 30.000   0.000   0.500   -8.739e-07    3.937e-09   -1.270e-07    4.308e-10    0
 30.000 100.000   0.500   -1.576e-08    9.451e-11   -7.628e-10    2.682e-12    0
 30.000  20.000   0.500   -8.336e-07    3.317e-09   -1.229e-07    3.672e-10    0
 30.000  40.000   0.500   -6.369e-07    2.669e-09   -9.572e-08    2.291e-10    0
 30.000  50.000   0.500   -4.486e-07    2.230e-09   -6.413e-08    1.594e-10    0
 30.000  60.000   0.500   -2.586e-07    1.603e-09   -3.199e-08    1.126e-10    0
 30.000  80.000   0.500   -6.222e-08    4.335e-10   -4.783e-09    2.001e-11    0
  5.000   0.000   0.500   -8.637e-04    3.067e-06   -5.605e-04    1.670e-06    0
  5.000 100.000   0.500   -4.706e-08    2.494e-10   -1.705e-09    5.677e-12    0
  5.000  20.000   0.500   -8.630e-04    3.070e-06   -5.604e-04    1.672e-06    0
  5.000  40.000   0.500   -8.426e-04    2.354e-06   -5.557e-04    1.701e-06    0
  5.000  50.000   0.500   -4.699e-04    1.308e-06   -3.092e-04    6.822e-07    0
  5.000  60.000   0.400   -2.429e-05    1.480e-07   -5.911e-06    1.407e-08    0
  5.000  60.000   0.500   -2.397e-05    1.460e-07   -5.832e-06    1.386e-08    0
  5.000  80.000   0.400   -4.279e-07    2.578e-09   -2.813e-08    8.120e-11    0
  5.000  80.000   0.500   -4.221e-07    2.550e-09   -2.774e-08    8.002e-11    0
