      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.000   0.500   -4.206e-05    1.807e-07   -1.557e-05    4.158e-08    0
 10.000 100.000   0.500   -2.443e-08    1.799e-10   -9.538e-10    3.881e-12    0
 10.000  20.000   0.500   -4.180e-05    1.709e-07   -1.553e-05    4.164e-08    0
 10.000  40.000   0.500   -3.846e-05    1.405e-07   -1.481e-05    3.472e-08    0
 10.000  50.000   0.500   -2.302e-05    1.391e-07   -8.657e-06    2.193e-08    0
 10.000  60.000   0.500   -4.453e-06    3.806e-08   -9.879e-07    4.452e-09    0
 10.000  80.000   0.500   -1.855e-07    1.594e-09   -1.338e-08    6.612e-11    0
 15.000   0.000   0.500   -8.916e-06    4.325e-08   -2.343e-06    7.100e-09    0
 15.000 100.000   0.500   -1.993e-08    1.382e-10   -8.442e-10    3.140e-12    0
 15.000  20.000   0.500   -8.793e-06    3.975e-08   -2.327e-06    7.001e-09    0
 15.000  40.000   0.500   -7.589e-06    3.714e-08   -2.096e-06    4.715e-09    0
 15.000  50.000   0.500   -4.775e-06    3.352e-08   -1.269e-06    4.591e-09    0
 15.000  60.000   0.500   -1.589e-06    1.338e-08   -3.024e-07    1.399e-09    0
 15.000  80.000   0.500   -1.276e-07    1.038e-09   -9.824e-09    4.566e-11    0
  1.000   0.000   0.500   -3.436e-02    1.529e-04   -7.810e-02    2.150e-04    0
  1.000 100.000   0.500   -3.362e-08    2.275e-10   -1.063e-09    3.281e-12    0
  1.000  20.000   0.500   -3.435e-02    1.529e-04   -7.806e-02    2.150e-04    0
  1.000  40.000   0.500   -3.432e-02    1.517e-04   -7.806e-02    2.147e-04    0
  1.000  50.000   0.500   -1.971e-02    7.782e-05   -4.407e-02    1.101e-04    0
  1.000  60.000   0.500   -3.567e-05    2.724e-07   -7.413e-06    2.397e-08    0
  1.000  80.000   0.500   -3.310e-07    2.499e-09   -1.820e-08    6.807e-11    0
 20.000 100.000   0.500   -1.602e-08    1.101e-10   -7.202e-10    2.895e-12    0
 20.000  40.000   0.500   -2.251e-06    1.164e-08   -4.837e-07    1.126e-09    0
 20.000  50.000   0.500   -1.490e-06    1.051e-08   -3.059e-07    1.161e-09    0
 20.000  60.000   0.500   -6.594e-07    5.378e-09   -1.071e-07    4.924e-10    0
 20.000  80.000   0.500   -8.632e-08    7.025e-10   -6.802e-09    3.338e-11    0
 25.000   0.000   0.500   -1.113e-06    4.751e-09   -1.873e-07    5.250e-10    0
 25.000 100.000   0.500   -1.274e-08    8.997e-11   -5.961e-10    2.518e-12    0
 25.000  20.000   0.500   -1.075e-06    4.592e-09   -1.832e-07    4.570e-10    0
 25.000  40.000   0.500   -8.539e-07    4.532e-09   -1.499e-07    3.866e-10    0
 25.000  50.000   0.500   -5.909e-07    4.105e-09   -9.893e-08    3.827e-10    0
 25.000  60.000   0.500   -3.102e-07    2.655e-09   -4.349e-08    2.241e-10    0
 25.000  80.000   0.500   -5.823e-08    4.696e-10   -4.562e-09    2.298e-11    0
 30.000 100.000   0.500   -1.004e-08    7.207e-11   -4.821e-10    2.096e-12    0
 30.000  20.000   0.500   -4.893e-07    2.073e-09   -7.128e-08    1.667e-10    0
 30.000  40.000   0.500   -3.814e-07    2.033e-09   -5.660e-08    1.606e-10    0
 30.000  50.000   0.500   -2.739e-07    1.856e-09   -3.879e-08    1.526e-10    0
 30.000  60.000   0.500   -1.609e-07    1.310e-09   -1.979e-08    9.991e-11    0
 30.000  80.000   0.500   -3.952e-08    3.107e-10   -3.023e-09    1.531e-11    0
  5.000 100.000   0.500   -2.943e-08    2.059e-10   -1.032e-09    3.682e-12    0
  5.000  40.000   0.500   -4.509e-04    1.318e-06   -2.930e-04    7.641e-07    0
  5.000  50.000   0.500   -2.628e-04    1.143e-06   -1.707e-04    2.478e-07    0
  5.000  60.000   0.500   -1.430e-05    1.197e-07   -3.420e-06    1.400e-08    0
  5.000  80.000   0.500   -2.609e-07    2.121e-09   -1.664e-08    7.246e-11    0
