% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 9 2016, 15:16
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     7074.151272112788        -1.1229907939042134E9    5.863550282928466E-22
1.5E-7                    7186.176366332798        -1.1175110904960003E9    5.925694868973843E-22
2.5E-7                    7297.653490211988        -1.1120313870877888E9    6.638879988174827E-22
3.5E-7                    7408.582643750357        -1.1065516836795795E9    6.839595455465081E-22
4.5E-7                    7518.963826947903        -1.1010719802713661E9    7.035503873271555E-22
5.5E-7                    7628.79703980463         -1.0955922768631551E9    7.653355157744944E-22
6.5E-7                    7738.082282320535        -1.0901125734549446E9    7.690803210362571E-22
7.5E-7                    7846.819554495619        -1.084632870046733E9     8.064507362046692E-22
8.5E-7                    7955.008856329881        -1.0791531666385221E9    8.210767355782503E-22
9.5E-7                    8062.399697505514        -1.0706426181426659E9    8.628479221400229E-22
1.05E-6                   8169.212212880719        -1.0656076893615305E9    8.854562187589753E-22
1.15E-6                   8275.521235377817        -1.060572760580397E9     8.986108390304606E-22
1.25E-6                   8381.326764996802        -1.0555378317992625E9    9.362431373495603E-22
1.3500000000000002E-6     8486.628801737668        -1.0505029030181276E9    9.52059368104786E-22
1.4499999999999999E-6     8591.427345600428        -1.0454679742369937E9    9.819586690959067E-22
1.55E-6                   8695.722396585072        -1.0404330454558585E9    9.923071664117568E-22
1.65E-6                   8799.5139546916          -1.0353981166747241E9    1.0179924009324045E-21
1.75E-6                   8902.802019920013        -1.030363187893589E9     1.0192438664373243E-21
1.85E-6                   9005.586592270318        -1.0253282591124539E9    1.038113180659965E-21
1.95E-6                   9107.867671742506        -1.0202933303313189E9    1.0478557686199316E-21
2.0500000000000003E-6     9209.64525833658         -1.015258401550184E9     1.0539628302199391E-21
2.15E-6                   9310.91935205254         -1.0102234727690506E9    1.0547037525034003E-21
2.25E-6                   9411.68995289039         -1.005188543987916E9     1.0599403796360576E-21
2.35E-6                   9511.957060850124        -1.0001536152067804E9    1.0618902743413954E-21
2.45E-6                   9611.720675931747        -9.951186864256458E8     1.0569030234173418E-21
2.55E-6                   9710.980798135255        -9.900837576445122E8     1.0514781037969447E-21
2.65E-6                   9809.73742746065         -9.850488288633766E8     1.0459440736712449E-21
2.75E-6                   9907.99056390793         -9.800139000822415E8     1.0403828917902904E-21
2.8500000000000002E-6     10005.7402074771         -9.749789713011084E8     1.0347341373789731E-21
2.95E-6                   10102.986358168151       -9.699440425199723E8     1.0291592915548004E-21
3.0500000000000004E-6     10199.729015981095       -9.649091137388382E8     1.0237738440062818E-21
3.15E-6                   10295.968180915916       -9.598741849577022E8     1.0182685426674143E-21
3.25E-6                   10391.70385297263        -9.548392561765699E8     1.0126303856913304E-21
3.35E-6                   10486.7250188047         -9.474132491779783E8     1.0070496932304034E-21
3.45E-6                   10581.192662791937       -9.41939630566833E8      1.001025033082549E-21
3.5500000000000003E-6     10675.112944918063       -9.364660119556838E8     9.957861450828491E-22
3.65E-6                   10768.895009616368       -9.461681586090515E8     9.899137483290201E-22
3.75E-6                   10863.283693457552       -9.416055182145524E8     9.841097397715784E-22
3.85E-6                   10957.216113259283       -9.370428778200558E8     9.783756255864213E-22
3.95E-6                   11050.956486841298       -9.40145726484549E8      9.729064867927799E-22
4.05E-6                   11144.64747181673        -9.336739730241253E8     9.67354490155056E-22
4.15E-6                   11237.691281446121       -9.272022195637016E8     9.61783215888171E-22
4.250000000000001E-6      11330.087915729475       -9.207304661032782E8     9.558476360161654E-22
4.35E-6                   11421.600782085483       -9.058426907617202E8     9.500945940296542E-22
4.45E-6                   11511.930520551861       -9.007520785659804E8     9.448272845146049E-22
4.5500000000000005E-6     11601.751197798672       -8.956614663702404E8     9.38973791673995E-22
4.6499999999999995E-6     11691.062813825913       -8.905708541744969E8     9.334050721255004E-22
4.75E-6                   11779.865368633573       -8.854802419787548E8     9.277858215055382E-22
4.85E-6                   11868.47181708157        -8.890852316820223E8     9.2231594748862E-22
4.950000000000001E-6      11957.086279876637       -8.832040242194862E8     9.16706514973651E-22
5.05E-6                   12045.112621925467       -8.773228167569487E8     9.109365010623949E-22
5.15E-6                   12132.550843228028       -8.714416092944131E8     9.053059964782398E-22
5.2500000000000006E-6     12219.400943784349       -8.65560401831878E8      8.998366709031186E-22
5.35E-6                   12305.662923594407       -8.596791943693426E8     8.945594296912198E-22
5.45E-6                   12391.336782658216       -8.537979869068079E8     8.889571787436776E-22
5.55E-6                   12476.42252097577        -8.47916779444273E8      8.837041231425248E-22
5.65E-6                   12560.920138547071       -8.420355719817368E8     8.782572118112674E-22
5.75E-6                   12644.829635372118       -8.36154364519201E8      8.729090659407328E-22
5.85E-6                   12728.151011450907       -8.302731570566655E8     8.675824977524117E-22
5.950000000000001E-6      12810.88426678345        -8.2439194959413E8       8.622205750172262E-22
6.05E-6                   12893.029401369738       -8.185107421315936E8     8.567725623954033E-22
6.15E-6                   12974.586415209771       -8.126295346690569E8     8.51510804120574E-22
6.25E-6                   13055.555308303547       -8.067483272065221E8     8.461897486919004E-22
6.35E-6                   13135.936080651076       -8.008671197439854E8     8.408193788121636E-22
6.45E-6                   13215.728732252346       -7.949859122814498E8     8.355398931894813E-22
6.550000000000001E-6      13294.933263107367       -7.891047048189158E8     8.3045054536635535E-22
6.65E-6                   13373.549673216128       -7.832234973563795E8     8.254199310536791E-22
6.75E-6                   13451.577962578638       -7.773422898938452E8     8.204615039751531E-22
6.8500000000000005E-6     13529.018131194898       -7.714610824313091E8     8.155327915290229E-22
6.9499999999999995E-6     13605.870179064903       -7.655798749687723E8     8.106689066877058E-22
7.05E-6                   13682.128260491567       -7.595171370152595E8     8.057949085913005E-22
7.15E-6                   13757.902072938152       -7.559591119165703E8     8.009615828402862E-22
7.250000000000001E-6      13833.320082874881       -7.524010868178822E8     7.961852203285863E-22
7.35E-6                   13908.38229030173        -7.488430617191925E8     7.915803846962588E-22
7.45E-6                   13983.08869521872        -7.452850366205056E8     7.869124502079281E-22
7.5500000000000006E-6     14057.439297625831       -7.41727011521816E8      7.8234620804961E-22
7.65E-6                   14131.434097523083       -7.381689864231268E8     7.779244874548221E-22
7.75E-6                   14205.073094910458       -7.346109613244381E8     7.734024636696778E-22
7.85E-6                   14278.356289787967       -7.310529362257491E8     7.69052572113121E-22
7.95E-6                   14351.283682155608       -7.274949111270609E8     7.648262514667545E-22
8.050000000000001E-6      14423.855272013383       -7.239368860283716E8     7.604874958936702E-22
8.15E-6                   14496.071059361286       -7.203788609296817E8     7.563840368447231E-22
8.25E-6                   14567.931044199324       -7.168208358309929E8     7.522428067922417E-22
8.35E-6                   14639.435226527483       -7.132628107323037E8     7.481291853073144E-22
8.449999999999999E-6      14710.58360634578        -7.097047856336153E8     7.442358582473245E-22
8.550000000000001E-6      14781.3761836542         -7.061467605349264E8     7.4034677050289965E-22
8.65E-6                   14851.812958452763       -7.02588735436237E8      7.364678781195623E-22
8.750000000000001E-6      14921.893930741457       -6.990307103375487E8     7.325427472344258E-22
8.85E-6                   14991.61910052027        -6.95472685238859E8      7.288414467779922E-22
8.949999999999999E-6      15060.988467789224       -6.919146601401715E8     7.251614810962603E-22
9.050000000000001E-6      15130.002032548311       -6.883566350414817E8     7.214833448367042E-22
9.15E-6                   15198.65979479752        -6.84798609942793E8      7.178358715038621E-22
9.25E-6                   15266.96175453687        -6.812405848441055E8     7.142301421465423E-22
9.35E-6                   15334.907911766342       -6.776825597454145E8     7.106901106043745E-22
9.450000000000001E-6      15402.498266485949       -6.74124534646727E8      7.072202318105797E-22
9.55E-6                   15469.732818695687       -6.705665095480376E8     7.03692001479256E-22
9.65E-6                   15536.611568395556       -6.670084844493493E8     7.001094770343319E-22
9.75E-6                   15603.134515585563       -6.634504593506606E8     6.966338920570001E-22
9.849999999999999E-6      15669.30166026569        -6.598924342519695E8     6.931855970783894E-22
9.950000000000001E-6      15735.113002435945       -6.563344091532824E8     6.898159192948731E-22
1.005E-5                  15800.568542096345       -6.527763840545936E8     6.863004164179548E-22
1.015E-5                  15865.668279246873       -6.49218358955906E8      6.829261003828492E-22
1.025E-5                  15930.46569426104        -6.464122486161227E8     6.795289573015642E-22
1.0350000000000001E-5     15994.946349674748       -6.432008596580787E8     6.761827810039707E-22
1.045E-5                  16059.10586619266        -6.399894707000345E8     6.728769313658837E-22
1.055E-5                  16122.944243814763       -6.367780817419899E8     6.694824124844788E-22
1.065E-5                  16186.715367981844       -6.364532926552107E8     6.662212869662524E-22
