% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 8 2016, 14:03
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     771.7872990331693        -1.3962213877087333E9    7.147906523356437E-20
1.5E-7                    910.9200599876206        -1.3864338313802888E9    7.207300482805873E-20
2.5E-7                    1049.0740653092273       -1.3766462750518448E9    8.078231818593734E-20
3.5E-7                    1186.2493149979894       -1.3668587187234006E9    8.308128795360303E-20
4.5E-7                    1322.445809053907        -1.357071162394956E9     8.531518312987918E-20
5.5E-7                    1457.663547476981        -1.347283606066512E9     9.281045420377621E-20
6.5E-7                    1591.9025302672098       -1.3374960497380679E9    9.30399755172191E-20
7.5E-7                    1725.162757424595        -1.3277084934096239E9    9.746575953071152E-20
8.5E-7                    1857.444228949135        -1.3179209370811796E9    9.903951620066036E-20
9.5E-7                    1988.5696799237612       -1.306033832494207E9     1.040003605951073E-19
1.05E-6                   2118.7052179551483       -1.296676928133541E9     1.0655957903411321E-19
1.15E-6                   2247.9050655504693       -1.2873200237728755E9    1.0792700543120188E-19
1.25E-6                   2376.1692227097246       -1.27796311941221E9      1.123473089859418E-19
1.3500000000000002E-6     2503.497689432912        -1.2686062150515442E9    1.1405428795748999E-19
1.4499999999999999E-6     2629.8904657200333       -1.2592493106908789E9    1.1751465975333968E-19
1.55E-6                   2755.3475515710875       -1.249892406330213E9     1.1854500596466065E-19
1.65E-6                   2879.8689469860756       -1.2405355019695475E9    1.2148176684530085E-19
1.75E-6                   3003.4546519649966       -1.2311785976088817E9    1.2138116718181568E-19
1.85E-6                   3126.1046665078525       -1.2218216932482162E9    1.2348399711622957E-19
1.95E-6                   3247.818990614641        -1.2124647888875506E9    1.2446134377845118E-19
2.0500000000000003E-6     3368.5976242853617       -1.2031078845268846E9    1.249785175608914E-19
2.15E-6                   3488.440567520017        -1.1937509801662195E9    1.2484380734739697E-19
2.25E-6                   3607.3478203186055       -1.1843940758055537E9    1.2528801256305555E-19
2.35E-6                   3725.3193826811275       -1.1750371714448879E9    1.253115631143559E-19
2.45E-6                   3842.3552546075834       -1.1656802670842218E9    1.2450162476237784E-19
2.55E-6                   3958.4554360979732       -1.156323362723556E9     1.236291357141545E-19
2.65E-6                   4073.619927152294        -1.146966458362891E9     1.2276874422504757E-19
2.75E-6                   4187.848727770551        -1.137609554002225E9     1.219245812029142E-19
2.8500000000000002E-6     4301.14183795274         -1.1282526496415598E9    1.2105791638423835E-19
2.95E-6                   4413.4992576988625       -1.1188957452808936E9    1.2022702526273598E-19
3.0500000000000004E-6     4524.92098700892         -1.1095388409202282E9    1.1943299927039636E-19
3.15E-6                   4635.407025882906        -1.1001819365595627E9    1.1862441802891391E-19
3.25E-6                   4744.95737432083         -1.0908250321988974E9    1.1780781299439946E-19
3.35E-6                   4853.387269712764        -1.079295738197059E9     1.170268638139177E-19
3.45E-6                   4960.821659933245        -1.069392066212623E9     1.162053328476361E-19
3.5500000000000003E-6     5067.265682955287        -1.0594883942281854E9    1.1545654919182086E-19
3.65E-6                   5173.886127659851        -1.0930819616568022E9    1.1466946647537125E-19
3.75E-6                   5282.909725964915        -1.0873900044444854E9    1.138922001177647E-19
3.85E-6                   5391.364128548747        -1.081698047232173E9     1.1314213709601489E-19
3.95E-6                   5499.612623009909        -1.0865883381190684E9    1.1239586764737255E-19
4.05E-6                   5607.86846401827         -1.078528482048157E9     1.1168739429204502E-19
4.15E-6                   5715.318319419537        -1.0704686259772438E9    1.1097192752877739E-19
4.250000000000001E-6      5821.962189213718        -1.0624087699063294E9    1.1020686063190025E-19
4.35E-6                   5927.573387190966        -1.0463515910863445E9    1.0949380765793135E-19
4.45E-6                   6031.895839462016        -1.0400974543347684E9    1.0884005969933835E-19
4.5500000000000005E-6     6135.592878057917        -1.0338433175831925E9    1.0810748673798972E-19
4.6499999999999995E-6     6238.664502978659        -1.027589180831614E9     1.0742056489591657E-19
4.75E-6                   6341.110714224238        -1.0213350440800359E9    1.0674962446746758E-19
