% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 15:48
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rho * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     1810.143235372404        -5.260374461692549E9     1.1350672719983718E-29
1.5E-7                    2334.1264374440407       -5.219289579740184E9     1.143456980502102E-29
2.5E-7                    2854.001151320441        -5.178204697787825E9     1.281875771388155E-29
3.5E-7                    3369.767377001605        -5.137119815835461E9     1.317439099692014E-29
4.5E-7                    3881.4251144875325       -5.096034933883099E9     1.3519440486002662E-29
5.5E-7                    4388.974363778226        -5.054950051930738E9     1.4707657168368572E-29
6.5E-7                    4892.4151248736825       -5.013865169978375E9     1.472960290397625E-29
7.5E-7                    5391.747397773901        -4.972780288026015E9     1.5424340027353099E-29
8.5E-7                    5886.971182478884        -4.931695406073652E9     1.5660940284948788E-29
9.5E-7                    6377.711415173822        -4.886368000757446E9     1.6440742438360559E-29
1.05E-6                   6864.3650897157895       -4.846705490081943E9     1.683491203318879E-29
1.15E-6                   7347.05251319021         -4.807042979406442E9     1.7037181399501654E-29
1.25E-6                   7825.773685597082        -4.767380468730938E9     1.7728861645697102E-29
1.3500000000000002E-6     8300.528606936397        -4.727717958055436E9     1.7986583322442993E-29
1.4499999999999999E-6     8771.317277208167        -4.688055447379933E9     1.8525033301336285E-29
1.55E-6                   9238.139696412385        -4.64839293670443E9      1.8674981983818545E-29
1.65E-6                   9700.995864549053        -4.608730426028928E9     1.912987438918661E-29
1.75E-6                   10159.88578161817        -4.569067915353424E9     1.9099126907747277E-29
1.85E-6                   10614.809447619738       -4.529405404677922E9     1.9421834925583745E-29
1.95E-6                   11065.766862553755       -4.489742894002419E9     1.956537896850475E-29
2.0500000000000003E-6     11512.758026420219       -4.450080383326916E9     1.9634590308952632E-29
2.15E-6                   11955.782939219136       -4.410417872651415E9     1.9600785921374404E-29
2.25E-6                   12394.841600950504       -4.370755361975912E9     1.9661154359541103E-29
2.35E-6                   12829.934011614318       -4.331092851300407E9     1.9653221324606268E-29
2.45E-6                   13261.060171210587       -4.2914303406249056E9    1.951428461352542E-29
2.55E-6                   13688.220079739307       -4.251767829949403E9     1.9364512803787273E-29
2.65E-6                   14111.413737200464       -4.2121053192739E9       1.9218671133122786E-29
2.75E-6                   14530.641143594083       -4.172442808598398E9     1.9076872144675122E-29
2.8500000000000002E-6     14945.902298920151       -4.1327802979228964E9    1.8930343861338334E-29
2.95E-6                   15357.19720317866        -4.0931177872473917E9    1.8791680941349804E-29
3.0500000000000004E-6     15764.525856369633       -4.05345527657189E9      1.8659735499879845E-29
3.15E-6                   16167.888258493032       -4.013792765896386E9     1.8525358145288155E-29
3.25E-6                   16567.284409548898       -3.9741302552208853E9    1.8390336611549458E-29
3.35E-6                   16962.14825935725        -3.927585020555551E9     1.826308219632989E-29
3.45E-6                   17352.81641698607        -3.8857781320208397E9    1.8130315917576378E-29
3.5500000000000003E-6     17739.30388576142        -3.843971243486122E9     1.800697486097701E-29
3.65E-6                   18127.302498300633       -4.014364788422724E9     1.7880726592170588E-29
3.75E-6                   18527.680358435548       -3.9931924142756042E9    1.7755872906657535E-29
3.85E-6                   18925.940981155756       -3.9720200401284924E9    1.763672963852739E-29
3.95E-6                   19323.536228008932       -3.9932244518686028E9    1.7515639046172547E-29
4.05E-6                   19721.352673161335       -3.9631044511794515E9    1.7404444890328682E-29
4.15E-6                   20116.157118244813       -3.9329844504902973E9    1.7291486023048266E-29
4.250000000000001E-6      20507.9495632594         -3.902864449801138E9     1.7170034381870196E-29
4.35E-6                   20896.02998345967        -3.848233734866581E9     1.7059291412605218E-29
4.45E-6                   21279.693693573412       -3.8250404674086237E9    1.6957661248563182E-29
4.5500000000000005E-6     21661.038076941382       -3.801847199950663E9     1.6842754257058436E-29
4.6499999999999995E-6     22040.063133563555       -3.7786539324927006E9    1.6735930574362388E-29
4.75E-6                   22416.768863439924       -3.7554606650347414E9    1.6633290409624734E-29
4.85E-6                   22792.530699581428       -3.770476989893907E9     1.6528054907553429E-29
4.950000000000001E-6      23168.242891074988       -3.7437668399776573E9    1.6423797004025893E-29
5.05E-6                   23541.28406757695        -3.7170566900614104E9    1.6317322042901294E-29
5.15E-6                   23911.654229087268       -3.6903465401451654E9    1.6212107274862025E-29
5.2500000000000006E-6     24279.353375605984       -3.663636390228919E9     1.6115347756582766E-29
5.35E-6                   24644.381507133065       -3.6369262403126707E9    1.6017394063982712E-29
5.45E-6                   25006.738623668516       -3.6102160903964267E9    1.5916675104263636E-29
5.55E-6                   25366.42472521235        -3.5835059404801817E9    1.582163017367624E-29
5.65E-6                   25723.439811764558       -3.5567957905639324E9    1.5722800854428153E-29
5.75E-6                   26077.78388332513        -3.5300856406476874E9    1.5624330181504317E-29
5.85E-6                   26429.456939894088       -3.503375490731437E9     1.552596059008329E-29
5.950000000000001E-6      26778.458981471427       -3.4766653408151913E9    1.5429072779539288E-29
6.05E-6                   27124.790008057134       -3.449955190898947E9     1.5326226991721548E-29
6.15E-6                   27468.450019651216       -3.4232450409826965E9    1.5226859220961445E-29
6.25E-6                   27809.43901625367        -3.396534891066451E9     1.512643857612802E-29
6.35E-6                   28147.756997864508       -3.3698247411502028E9    1.502549035097811E-29
6.45E-6                   28483.403964483714       -3.3431145912339587E9    1.4925778213005415E-29
6.550000000000001E-6      28816.3799161113         -3.3164044413177156E9    1.482943997855556E-29
6.65E-6                   29146.68485274725        -3.2896942914014664E9    1.4734293798620656E-29
6.75E-6                   29474.31877439159        -3.26298414148522E9      1.4640603300159783E-29
6.8500000000000005E-6     29799.281681044293       -3.236273991568973E9     1.4547741008160012E-29
6.9499999999999995E-6     30121.573572705383       -3.209563841652727E9     1.4455801299203233E-29
7.05E-6                   30441.205980748702       -3.18446524052575E9      1.436376449596133E-29
7.15E-6                   30758.874156773807       -3.1688982799766736E9    1.4272519990322625E-29
7.250000000000001E-6      31074.98563674403        -3.1533313194276047E9    1.4182639000439894E-29
7.35E-6                   31389.54042065933        -3.137764358878532E9     1.4096036138719056E-29
7.45E-6                   31702.538508519734       -3.122197398329463E9     1.4008077776054383E-29
7.5500000000000006E-6     32013.979900325223       -3.106630437780388E9     1.3922125220141415E-29
7.65E-6                   32323.864596075808       -3.0910634772313185E9    1.3838960480328908E-29
7.75E-6                   32632.1925957715         -3.0754965166822453E9    1.3754011843984355E-29
7.85E-6                   32938.963899412265       -3.059929556133174E9     1.367229917582049E-29
7.95E-6                   33244.17850699813        -3.0443625955841026E9    1.3592919479229504E-29
8.050000000000001E-6      33547.836418529085       -3.0287956350350294E9    1.351171629176664E-29
8.15E-6                   33849.937634005146       -3.0132286744859543E9    1.3434877998199577E-29
8.25E-6                   34150.48215342629        -2.997661713936885E9     1.3357444346097832E-29
8.35E-6                   34449.469976792505       -2.982094753387811E9     1.3280645924782853E-29
8.449999999999999E-6      34746.90110410384        -2.966527792838743E9     1.320793630373858E-29
8.550000000000001E-6      35042.77553536025        -2.9509608322896714E9    1.3135449207403377E-29
8.65E-6                   35337.093270561774       -2.9353938717405996E9    1.30632491433751E-29
8.750000000000001E-6      35629.85430970838        -2.9198269111915264E9    1.2990161877003666E-29
8.85E-6                   35921.05865280007        -2.9042599506424527E9    1.2921391264203545E-29
8.949999999999999E-6      36210.70629983687        -2.8886929900933814E9    1.2852998651113087E-29
9.050000000000001E-6      36498.79725081877        -2.873126029544311E9     1.2784734333218488E-29
9.15E-6                   36785.33150574573        -2.857559068995241E9     1.2717011094344852E-29
9.25E-6                   37070.3090646178         -2.8419921084461694E9    1.2650120556043066E-29
9.35E-6                   37353.72992743497        -2.8264251478970947E9    1.2584485702871269E-29
9.450000000000001E-6      37635.59409419722        -2.8108581873480253E9    1.2520085473567723E-29
9.55E-6                   37915.901564904576       -2.795291226798954E9     1.2454608851904771E-29
9.65E-6                   38194.652339557004       -2.779724266249881E9     1.2388146708683351E-29
9.75E-6                   38471.84641815456        -2.7641573057008104E9    1.2323662392988918E-29
9.849999999999999E-6      38747.48380069717        -2.7485903451517353E9    1.2259682506019914E-29
9.950000000000001E-6      39021.56448718488        -2.733023384602667E9     1.2197147167827833E-29
1.005E-5                  39294.08847761771        -2.717456424053591E9     1.2131939612165069E-29
1.015E-5                  39565.05577199562        -2.701889463504525E9     1.2069337960984535E-29
1.025E-5                  39834.72511429645        -2.6899030749893985E9    1.2006333527020857E-29
1.0350000000000001E-5     40103.01453840523        -2.6758854071862493E9    1.1944265590478609E-29
1.045E-5                  40369.9021957337         -2.6618677393830957E9    1.1882937148726048E-29
1.055E-5                  40635.38808628188        -2.647850071579945E9     1.1819988308385556E-29
1.065E-5                  40900.56090837637        -2.646220423426856E9     1.1759501299342535E-29
1.0749999999999999E-5     41164.5529276873         -2.6336199627919097E9    1.1695535564179665E-29
1.0850000000000001E-5     41427.28490093476        -2.621019502156965E9     1.1633128888306667E-29
1.095E-5                  41688.7568281187         -2.6084190415220213E9    1.1571700084176579E-29
1.1050000000000001E-5     41948.968709239154       -2.5958185808870773E9    1.1510245614595996E-29
1.115E-5                  42207.92054429614        -2.583218120252131E9     1.1448161622750347E-29
1.1249999999999999E-5     42465.61233328958        -2.570617659617184E9     1.1386106514408116E-29
1.1350000000000001E-5     42722.04407621956        -2.5580171989822426E9    1.1326908686785215E-29
1.145E-5                  42977.21577308604        -2.5454167383472967E9    1.1266184054765573E-29
1.155E-5                  43231.12742388901        -2.5328162777123547E9    1.1207554270719296E-29
1.165E-5                  43483.7790286285         -2.520215817077408E9     1.1148389933877713E-29
1.1750000000000001E-5     43735.1705873045         -2.5076153564424634E9    1.1089496599877778E-29
1.185E-5                  43985.302099917004       -2.495014895807519E9     1.1032779174562036E-29
1.195E-5                  44234.17356646601        -2.4824144351725745E9    1.0975381604752375E-29
1.205E-5                  44481.784986951505       -2.4698139745376296E9    1.0918478426516832E-29
